Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,-18262,-22177,-406,5420,6599,12532,2536,-263,-23638,-24670,0,-13242000,0,-24861,-0.134314865,0.843763192
1,6153,411,-13,-3707,-5854,7514,-1065,806,1554,9729,-15,-60807300,0,12007,0.049491218,0.454643279
1,-460,-1470,43,4781,-2154,2329,-3843,-11,-69,7890,0,-9214800,0,1695,-0.038633743,0.291030053
1,7538,5997,287,5,7716,3077,4992,-17,17399,371,0,-15848700,0,-178,-0.041604941,0.802178313
1,7133,173,-16,1177,3546,6291,716,-83,1806,13923,-1344,-33860900,52000,3587,-0.040398657,0.257973419
1,24497,17122,140,-2357,24123,1668,-1540,55,177,992,0,-6692300,-1100000,375,-0.02139057,0.334876647
1,3128,-3369,-8,90,1920,17709,-1645,3,-431,4895,641,-2560600,0,1207,-0.009255782,0.407595166
1,2069,566,11,2022,-10711,-8251,-4439,51,874,15722,0,-5837400,0,12780,0.049533541,0.239930401
1,-1985,479,-25,-2549,-6265,-5856,334,-78,1387,6069,0,-17245100,0,4281,-0.029933452,0.3214554
1,1765,1135,596,3937,-1240,-1836,-4666,-52,-2896,2604,-69,-12238300,0,3006,-0.051840072,0.193568336
1,610,414,-3,4133,-1856,2395,167,-3,246,2155,0,-25519000,0,2467,-0.040658246,0.486043708
1,7934,924,570,6009,-3274,8711,522,-8,5194,11763,0,-28370700,0,11208,0.013744492,0.492523424
1,7329,-1516,0,5499,-759,3433,306,245,538,8251,0,-8082200,0,8087,0.007802701,0.266365171
1,-1772,-2942,-883,1264,-323,-3190,-533,-48,-3461,-3541,12,-6976100,-2000000,-1449,-0.071972218,0.185371147
1,1223,-1325,-52,2230,678,-223,528,6,391,818,0,-17724400,0,544,-0.029150629,0.490623035
1,-743,882,-1,881,-3129,4822,749,2,329,743,0,-5282000,0,2385,-0.065175081,0.762540274
1,269,186,30,-2898,-479,-1223,702,3,556,574,0,-5949000,-36196970,748,-0.031122314,0.487379728
1,-2532,-326,0,4467,-3390,-2812,208,-6,187,734,0,-19911000,0,858,-0.0904488,0.692243257
1,941,-245,8,1403,-433,-333,423,24,1035,1136,0,-8845000,0,1374,-0.045356457,0.700382095
1,140,302,137,-318,-1024,-1377,-391,-9,-7,1313,0,-3421000,0,1164,-0.011415376,0.672156504
1,6339,4169,1302,1190,3157,218,840,-11,1054,2930,167,-362400,0,3183,-0.026347251,0.272472987
1,513,1450,-498,-1028,-1506,1715,267,-13,558,2066,-88,-7046700,0,2019,-0.007579379,0.511892569
1,927,-404,0,648,303,-740,-34,2,-294,367,0,-18097600,0,624,-0.028699301,0.581174825
1,-1180,-997,2,897,-1149,-1099,227,5,73,404,0,-4454900,0,-32,-0.070475121,0.483380691
1,5935,3565,1574,-675,6342,-1080,-765,-55,1704,-121,-131,-2355900,454545,-408,-0.056731735,0.676044208
1,4089,2888,-4,799,1617,12750,262,10,6,527,1695,-12529300,5011600,2472,-0.024565327,0.721665104
